,PassengerId,Survived,Pclass,Sex,Age,Fare,Embarked
0,1,0,3,male,22.0,7.25,Southhampton
1,2,1,1,female,38.0,71.2833,Cherbourg
2,3,1,3,female,26.0,7.925,Southhampton
3,4,1,1,female,35.0,53.1,Southhampton
4,5,0,3,male,35.0,8.05,Southhampton
5,6,0,3,male,,8.4583,Queenstown
6,7,0,1,male,54.0,51.8625,Southhampton
7,8,0,3,male,2.0,21.075,Southhampton
8,9,1,3,female,27.0,11.1333,Southhampton
9,10,1,2,female,14.0,30.0708,Cherbourg
10,11,1,3,female,4.0,16.7,Southhampton
11,12,1,1,female,58.0,26.55,Southhampton
12,13,0,3,male,20.0,8.05,Southhampton
13,14,0,3,male,39.0,31.275,Southhampton
14,15,0,3,female,14.0,7.8542,Southhampton
15,16,1,2,female,55.0,16.0,Southhampton
16,17,0,3,male,2.0,29.125,Queenstown
17,18,1,2,male,,13.0,Southhampton
18,19,0,3,female,31.0,18.0,Southhampton
19,20,1,3,female,,7.225,Cherbourg
20,21,0,2,male,35.0,26.0,Southhampton
21,22,1,2,male,34.0,13.0,Southhampton
22,23,1,3,female,15.0,8.0292,Queenstown
23,24,1,1,male,28.0,35.5,Southhampton
24,25,0,3,female,8.0,21.075,Southhampton
25,26,1,3,female,38.0,31.3875,Southhampton
26,27,0,3,male,,7.225,Cherbourg
27,28,0,1,male,19.0,263.0,Southhampton
28,29,1,3,female,,7.8792,Queenstown
29,30,0,3,male,,7.8958,Southhampton
30,31,0,1,male,40.0,27.7208,Cherbourg
31,32,1,1,female,,146.5208,Cherbourg
32,33,1,3,female,,7.75,Queenstown
33,34,0,2,male,66.0,10.5,Southhampton
34,35,0,1,male,28.0,82.1708,Cherbourg
35,36,0,1,male,42.0,52.0,Southhampton
36,37,1,3,male,,7.2292,Cherbourg
37,38,0,3,male,21.0,8.05,Southhampton
38,39,0,3,female,18.0,18.0,Southhampton
39,40,1,3,female,14.0,11.2417,Cherbourg
40,41,0,3,female,40.0,9.475,Southhampton
41,42,0,2,female,27.0,21.0,Southhampton
42,43,0,3,male,,7.8958,Cherbourg
43,44,1,2,female,3.0,41.5792,Cherbourg
44,45,1,3,female,19.0,7.8792,Queenstown
45,46,0,3,male,,8.05,Southhampton
46,47,0,3,male,,15.5,Queenstown
47,48,1,3,female,,7.75,Queenstown
48,49,0,3,male,,21.6792,Cherbourg
49,50,0,3,female,18.0,17.8,Southhampton
50,51,0,3,male,7.0,39.6875,Southhampton
51,52,0,3,male,21.0,7.8,Southhampton
52,53,1,1,female,49.0,76.7292,Cherbourg
53,54,1,2,female,29.0,26.0,Southhampton
54,55,0,1,male,65.0,61.9792,Cherbourg
55,56,1,1,male,,35.5,Southhampton
56,57,1,2,female,21.0,10.5,Southhampton
57,58,0,3,male,28.5,7.2292,Cherbourg
58,59,1,2,female,5.0,27.75,Southhampton
59,60,0,3,male,11.0,46.9,Southhampton
60,61,0,3,male,22.0,7.2292,Cherbourg
61,62,1,1,female,38.0,80.0,
