Id,MSSubClass,MSZoning,LotFrontage,LotArea,LotConfig,Neighborhood,BldgType,HouseStyle,OverallQual,YearBuilt,YearRemodAdd,ExterQual,KitchenQual,GarageCars,PoolQC,MoSold,YrSold,SaleType,SalePrice
1,60,RL,65,8450,Inside,CollgCr,1Fam,2Story,7,2003,2003,Gd,Gd,2,NA,2,2008,WD,208500
2,20,RL,80,9600,FR2,Veenker,1Fam,1Story,6,1976,1976,TA,TA,2,NA,5,2007,WD,181500
3,60,RL,68,11250,Inside,CollgCr,1Fam,2Story,7,2001,2002,Gd,Gd,2,NA,9,2008,WD,223500
4,70,RL,60,9550,Corner,Crawfor,1Fam,2Story,7,1915,1970,TA,Gd,3,NA,2,2006,WD,140000
5,60,RL,84,14260,FR2,NoRidge,1Fam,2Story,8,2000,2000,Gd,Gd,3,NA,12,2008,WD,250000
6,50,RL,85,14115,Inside,Mitchel,1Fam,1.5Fin,5,1993,1995,TA,TA,2,NA,10,2009,WD,143000
7,20,RL,75,10084,Inside,Somerst,1Fam,1Story,8,2004,2005,Gd,Gd,2,NA,8,2007,WD,307000
8,60,RL,NA,10382,Corner,NWAmes,1Fam,2Story,7,1973,1973,TA,TA,2,NA,11,2009,WD,200000
9,50,RM,51,6120,Inside,OldTown,1Fam,1.5Fin,7,1931,1950,TA,TA,2,NA,4,2008,WD,129900
10,190,RL,50,7420,Corner,BrkSide,2fmCon,1.5Unf,5,1939,1950,TA,TA,1,NA,1,2008,WD,118000
11,20,RL,70,11200,Inside,Sawyer,1Fam,1Story,5,1965,1965,TA,TA,1,NA,2,2008,WD,129500
12,60,RL,85,11924,Inside,NridgHt,1Fam,2Story,9,2005,2006,Ex,Ex,3,NA,7,2006,New,345000
13,20,RL,NA,12968,Inside,Sawyer,1Fam,1Story,5,1962,1962,TA,TA,1,NA,9,2008,WD,144000
14,20,RL,91,10652,Inside,CollgCr,1Fam,1Story,7,2006,2007,Gd,Gd,3,NA,8,2007,New,279500
15,20,RL,NA,10920,Corner,NAmes,1Fam,1Story,6,1960,1960,TA,TA,1,NA,5,2008,WD,157000
16,45,RM,51,6120,Corner,BrkSide,1Fam,1.5Unf,7,1929,2001,TA,TA,2,NA,7,2007,WD,132000
17,20,RL,NA,11241,CulDSac,NAmes,1Fam,1Story,6,1970,1970,TA,TA,2,NA,3,2010,WD,149000
18,90,RL,72,10791,Inside,Sawyer,Duplex,1Story,4,1967,1967,TA,TA,2,NA,10,2006,WD,90000
19,20,RL,66,13695,Inside,SawyerW,1Fam,1Story,5,2004,2004,TA,Gd,2,NA,6,2008,WD,159000
20,20,RL,70,7560,Inside,NAmes,1Fam,1Story,5,1958,1965,TA,TA,1,NA,5,2009,COD,139000
21,60,RL,101,14215,Corner,NridgHt,1Fam,2Story,8,2005,2006,Gd,Gd,3,NA,11,2006,New,325300
22,45,RM,57,7449,Inside,IDOTRR,1Fam,1.5Unf,7,1930,1950,TA,Gd,1,NA,6,2007,WD,139400
23,20,RL,75,9742,Inside,CollgCr,1Fam,1Story,8,2002,2002,Gd,Gd,2,NA,9,2008,WD,230000
24,120,RM,44,4224,Inside,MeadowV,TwnhsE,1Story,5,1976,1976,TA,TA,2,NA,6,2007,WD,129900
25,20,RL,NA,8246,Inside,Sawyer,1Fam,1Story,5,1968,2001,TA,Gd,1,NA,5,2010,WD,154000
26,20,RL,110,14230,Corner,NridgHt,1Fam,1Story,8,2007,2007,Gd,Gd,3,NA,7,2009,WD,256300
27,20,RL,60,7200,Corner,NAmes,1Fam,1Story,5,1951,2000,TA,Gd,2,NA,5,2010,WD,134800
28,20,RL,98,11478,Inside,NridgHt,1Fam,1Story,8,2007,2008,Gd,Gd,3,NA,5,2010,WD,306000
29,20,RL,47,16321,CulDSac,NAmes,1Fam,1Story,5,1957,1997,TA,TA,1,NA,12,2006,WD,207500
30,30,RM,60,6324,Inside,BrkSide,1Fam,1Story,4,1927,1950,TA,Fa,1,NA,5,2008,WD,68500
31,70,C (all),50,8500,Inside,IDOTRR,1Fam,2Story,4,1920,1950,TA,TA,1,NA,7,2008,WD,40000
32,20,RL,NA,8544,CulDSac,Sawyer,1Fam,1Story,5,1966,2006,TA,Gd,1,NA,6,2008,WD,149350
33,20,RL,85,11049,Corner,CollgCr,1Fam,1Story,8,2007,2007,Gd,Gd,2,NA,1,2008,WD,179900
34,20,RL,70,10552,Inside,NAmes,1Fam,1Story,5,1959,1959,TA,Gd,2,NA,4,2010,WD,165500
35,120,RL,60,7313,Inside,NridgHt,TwnhsE,1Story,9,2005,2005,Ex,Ex,2,NA,8,2007,WD,277500
36,60,RL,108,13418,Inside,NridgHt,1Fam,2Story,8,2004,2005,Gd,Gd,3,NA,9,2006,WD,309000
37,20,RL,112,10859,Corner,CollgCr,1Fam,1Story,5,1994,1995,TA,TA,2,NA,6,2009,WD,145000
38,20,RL,74,8532,Inside,NAmes,1Fam,1Story,5,1954,1990,TA,TA,2,NA,10,2009,WD,153000
39,20,RL,68,7922,Inside,NAmes,1Fam,1Story,5,1953,2007,TA,Gd,1,NA,1,2010,WD,109000
40,90,RL,65,6040,Inside,Edwards,Duplex,1Story,4,1955,1955,TA,Fa,0,NA,6,2008,WD,82000
41,20,RL,84,8658,Inside,NAmes,1Fam,1Story,6,1965,1965,TA,TA,2,NA,12,2006,WD,160000
42,20,RL,115,16905,Inside,Timber,1Fam,1Story,5,1959,1959,TA,TA,1,NA,7,2007,WD,170000
43,85,RL,NA,9180,CulDSac,SawyerW,1Fam,SFoyer,5,1983,1983,TA,Gd,2,NA,12,2007,WD,144000
44,20,RL,NA,9200,CulDSac,CollgCr,1Fam,1Story,5,1975,1980,TA,TA,1,NA,7,2008,WD,130250
45,20,RL,70,7945,Inside,NAmes,1Fam,1Story,5,1959,1959,TA,TA,1,NA,5,2006,WD,141000
46,120,RL,61,7658,Inside,NridgHt,TwnhsE,1Story,9,2005,2005,Ex,Ex,2,NA,2,2010,WD,319900
47,50,RL,48,12822,CulDSac,Mitchel,1Fam,1.5Fin,7,2003,2003,Gd,Gd,2,NA,8,2009,WD,239686
48,20,FV,84,11096,Inside,Somerst,1Fam,1Story,8,2006,2006,Gd,Gd,3,NA,7,2007,WD,249700
49,190,RM,33,4456,Inside,OldTown,2fmCon,2Story,4,1920,2008,TA,TA,0,NA,6,2009,New,113000
50,20,RL,66,7742,Inside,Sawyer,1Fam,1Story,5,1966,1966,TA,TA,1,NA,1,2007,WD,127000
51,60,RL,NA,13869,Corner,Gilbert,1Fam,2Story,6,1997,1997,TA,TA,2,NA,7,2007,WD,177000
52,50,RM,52,6240,Inside,BrkSide,1Fam,1.5Fin,6,1934,1950,TA,TA,2,NA,9,2006,WD,114500
53,90,RM,110,8472,Corner,IDOTRR,Duplex,1Story,5,1963,1963,Fa,TA,2,NA,5,2010,WD,110000
54,20,RL,68,50271,Inside,Veenker,1Fam,1Story,9,1981,1987,Gd,Gd,3,NA,11,2006,WD,385000
55,80,RL,60,7134,Inside,NAmes,1Fam,SLvl,5,1955,1955,TA,TA,2,NA,2,2007,WD,130000
56,20,RL,100,10175,Inside,NAmes,1Fam,1Story,6,1964,1964,TA,TA,2,NA,7,2008,WD,180500
57,160,FV,24,2645,Inside,Somerst,Twnhs,2Story,8,1999,2000,Gd,Gd,2,NA,8,2009,WD,172500
58,60,RL,89,11645,Corner,CollgCr,1Fam,2Story,7,2004,2004,Gd,Gd,2,NA,8,2006,WD,196500
59,60,RL,66,13682,CulDSac,StoneBr,1Fam,2Story,10,2006,2006,Ex,Gd,3,NA,10,2006,New,438780
60,20,RL,60,7200,Inside,CollgCr,1Fam,1Story,5,1972,1972,TA,TA,1,NA,1,2008,WD,124900
61,20,RL,63,13072,Inside,SawyerW,1Fam,1Story,6,2004,2004,TA,Gd,2,NA,5,2006,New,158000
62,75,RM,60,7200,Inside,IDOTRR,1Fam,2.5Unf,5,1920,1996,TA,Fa,1,NA,3,2007,WD,101000
63,120,RL,44,6442,Inside,NridgHt,TwnhsE,1Story,8,2006,2006,Gd,Gd,2,NA,10,2007,WD,202500
64,70,RM,50,10300,Inside,OldTown,1Fam,2Story,7,1921,1950,TA,TA,2,NA,4,2010,WD,140000
65,60,RL,NA,9375,Inside,CollgCr,1Fam,2Story,7,1997,1998,TA,Gd,2,NA,2,2009,WD,219500
66,60,RL,76,9591,Inside,NridgHt,1Fam,2Story,8,2004,2005,Gd,Gd,3,NA,10,2007,WD,317000
67,20,RL,NA,19900,Inside,NAmes,1Fam,1Story,7,1970,1989,TA,TA,2,NA,7,2010,WD,180000
68,20,RL,72,10665,Inside,CollgCr,1Fam,1Story,7,2003,2003,Gd,Gd,2,NA,6,2007,WD,226000
